lifecycle,age,Euro_Staat,Euro_ILBs,Aandelen
neutraal,25,0.0000,0.0000,1.0000
neutraal,26,0.0000,0.0000,1.0000
neutraal,27,0.0000,0.0000,1.0000
neutraal,28,0.0000,0.0000,1.0000
neutraal,29,0.0000,0.0000,1.0000
neutraal,30,0.0000,0.0000,1.0000
neutraal,31,0.0000,0.0000,1.0000
neutraal,32,0.0000,0.0000,1.0000
neutraal,33,0.0000,0.0000,1.0000
neutraal,34,0.0000,0.0000,1.0000
neutraal,35,0.0000,0.0000,1.0000
neutraal,36,0.0000,0.0000,1.0000
neutraal,37,0.0000,0.0000,1.0000
neutraal,38,0.0000,0.0000,1.0000
neutraal,39,0.0000,0.0000,1.0000
neutraal,40,0.0000,0.0000,1.0000
neutraal,41,0.0000,0.0000,1.0000
neutraal,42,0.0000,0.0000,1.0000
neutraal,43,0.0000,0.0000,1.0000
neutraal,44,0.0000,0.0000,1.0000
neutraal,45,0.0000,0.0000,1.0000
neutraal,46,0.0070,0.0030,0.9900
neutraal,47,0.0280,0.0120,0.9600
neutraal,48,0.0420,0.0180,0.9400
neutraal,49,0.0630,0.0270,0.9100
neutraal,50,0.0910,0.0390,0.8700
neutraal,51,0.1190,0.0510,0.8300
neutraal,52,0.1400,0.0600,0.8000
neutraal,53,0.1680,0.0720,0.7600
neutraal,54,0.1890,0.0810,0.7300
neutraal,55,0.2100,0.0900,0.7000
neutraal,56,0.2310,0.0990,0.6700
neutraal,57,0.2520,0.1080,0.6400
neutraal,58,0.2730,0.1170,0.6100
neutraal,59,0.3010,0.1290,0.5700
neutraal,60,0.3220,0.1380,0.5400
neutraal,61,0.3500,0.1500,0.5000
neutraal,62,0.3710,0.1590,0.4700
neutraal,63,0.3920,0.1680,0.4400
neutraal,64,0.4060,0.1740,0.4200
neutraal,65,0.4200,0.1800,0.4000
neutraal,66,0.4270,0.1830,0.3900
neutraal,67,0.4270,0.1830,0.3900
neutraal,68,0.4200,0.1800,0.4000
hoge_reele_rente,25,0.0400,0.0100,0.9500
hoge_reele_rente,26,0.0400,0.0100,0.9500
hoge_reele_rente,27,0.0400,0.0100,0.9500
hoge_reele_rente,28,0.0400,0.0100,0.9500
hoge_reele_rente,29,0.0400,0.0100,0.9500
hoge_reele_rente,30,0.0400,0.0100,0.9500
hoge_reele_rente,31,0.0400,0.0100,0.9500
